sentiment,selected_text
worry,sick
neutral,thanks
worry,.. no luck
neutral,i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.
sadness," Yeah , I'm very nauseous . It's mostly nausea and a fever . "
neutral,
worry,no water!
worry,what!!!????  where are u guys going!?
sadness,Sad
sadness,"If , as she suspected , Elizabeth was miserable because of that dreary village sawbones , then it was dishonest and unlikeable of her to pretend that it was because of her sister-in-law . "
worry,ugh some stupid teenagers just showed up.
neutral,_GM That`s the plan
neutral,
worry,
neutral," oh , it's love at first sight . When will you see each other again ? "
anger,Mrs Friar looked offended but continued . 
neutral,! I guess it`s worth the wait!
sadness,
neutral,VEGA UNDER FIREEEEEE
sadness,hate wo
sadness,cry
sadness,"When I was betrayed by a friend, and decided to stay apart form her."
worry,leave me alone
sadness,Home from Whitney`s. No sleep. Church in a bit. Dangggg....I`m tired. But it was worth it
neutral,"I love my mom, she`s the best mom on the planet"
sadness,
worry,
neutral,I wish
neutral,I miss him
worry,Mind you it`d be stupid
sadness,When I read a lot and did not remember anything.
sadness,
sadness,"When I left New York, and all my family and my friends behind me."
neutral,Is off to meet my folks after a while...gonna b a working weekend too
neutral,Overheat
fear, It's been my pleasure to help you . 
worry,"hahaha im broke, i need money  sighh."
neutral,beautiful
worry,
neutral,Just file me under *seduced* sweetie...
worry,Hmm... the new sports catalog and card jitsu updates are not appearing for me
fear,Roberts looked nervous but kept a fixed smile . 
sadness,dont wanna
neutral,
neutral,goodgirl
fear,A lot of people's biggest is #death and a lot of others is #clowns.. My biggest fear... Death by Clowns! There's nothing scarier!
neutral,
worry,
worry,
worry,All I want is to see him tonight.  and I know it`s not gonna happen.
sadness,I had a quarrell with my boyfriend and decided to finish with him and and my Easter holidays.
neutral, I was running around the track at my college and there she was walking around the same track . 
neutral,
neutral,**** I`m pass 400 updates! Haha! Tweet tweet tweet!!!!!!
neutral,
neutral,"If you yelled for 8 years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee."
neutral, Hi Joe . 
anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
worry,killed
neutral,
sadness,"My sister, whom I like very much, asked me for a favour which I refused her for some flimsy reason. Some time later I felt sorry for that and something like sadness."
sadness,Sorta needs to somehow forget that its E3 in LA practically during my ethics exam and self-imposed revision time.
worry,I saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. By the time I turned around she was gone... no picture
neutral,
neutral,
neutral, I like baseball and basketball . 
worry,does not want to go to sixth period.
neutral,
sadness,my friday feels boring too.
neutral,
neutral, nothing 
neutral,enjoying
worry,uh... I brokt it...
neutral,"it involves posting your thoughts and reading others mr.bean. You got a new number btw, had no txts back from you?"
worry,dammit
sadness,"Holy **** it`s super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park  http://tinyurl.com/ns2l55"
